;Longitude;Latitude;
75°34'24.823W,6°14'7.899N;-75.5735619;6.2355275;
75°34'26.986W,6°14'8.935N;-75.5741628;6.2358153;
75°34'26.059W,6°14'11.162N;-75.5739053;6.2364339;
75°34'32.818W,6°14'18.534N;-75.5757828;6.2384817;
75°34'31.814W,6°14'20.339N;-75.5755039;6.2389831;
75°34'26.677W,6°14'16.269N;-75.5740769;6.2378525;
75°34'24.669W,6°14'15.424N;-75.5735192;6.2376178;
75°34'21.810W,6°14'14.733N;-75.572725;6.2374258;
75°34'19.145W,6°14'13.504N;-75.5719847;6.2370844;
75°34'18.257W,6°14'16.039N;-75.5717381;6.2377886;
75°34'20.806W,6°14'17.344N;-75.5724461;6.2381511;
75°34'23.433W,6°14'18.189N;-75.5731758;6.2383858;
75°34'39.489W,6°14'49.599N;-75.5776358;6.2471108;
75°34'33.077W,6°14'46.374N;-75.5758547;6.246215;
75°34'7.922W,6°14'26.747N;-75.5688672;6.2407631;
75°34'3.866W,6°14'36.537N;-75.5677406;6.2434825;
75°34'0.158W,6°14'35.654N;-75.5667106;6.2432372;
75°33'54.674W,6°14'33.658N;-75.5651872;6.2426828;
75°33'49.035W,6°14'30.701N;-75.5636208;6.2418614;
75°33'47.335W,6°14'33.389N;-75.5631486;6.2426081;
75°33'53.013W,6°14'37.267N;-75.5647258;6.2436853;
75°33'51.468W,6°14'39.954N;-75.5642967;6.2444317;
75°33'45.404W,6°14'37.113N;-75.5626122;6.2436425;
75°33'42.894W,6°14'35.731N;-75.561915;6.2432586;
75°33'49.576W,6°14'43.563N;-75.5637711;6.2454342;
75°33'45.868W,6°14'41.605N;-75.5627411;6.2448903;
75°33'41.194W,6°14'39.071N;-75.5614428;6.2441864;
75°33'38.181W,6°14'37.382N;-75.5606058;6.2437172;
75°33'48.069W,6°14'46.520N;-75.5633525;6.2462556;
75°33'45.366W,6°14'45.214N;-75.5626017;6.2458928;
75°33'39.649W,6°14'42.258N;-75.5610136;6.2450717;
75°33'36.521W,6°14'40.453N;-75.5601447;6.2445703;
75°33'33.276W,6°14'39.110N;-75.5592433;6.2441972;
75°33'29.684W,6°14'37.459N;-75.5582456;6.2437386;
75°33'27.212W,6°14'39.609N;-75.5575589;6.2443358;
75°33'34.589W,6°14'43.679N;-75.5596081;6.2454664;
75°33'46.292W,6°14'50.206N;-75.5628589;6.2472794;
75°33'44.632W,6°14'53.853N;-75.5623978;6.2482925;
75°33'41.310W,6°14'53.085N;-75.561475;6.2480792;
75°33'31.538W,6°14'49.246N;-75.5587606;6.2470128;
75°33'28.294W,6°14'47.748N;-75.5578594;6.2465967;
75°33'23.466W,6°14'43.295N;-75.5565183;6.2453597;
75°33'22.153W,6°14'48.248N;-75.5561536;6.2467356;
75°33'29.568W,6°14'52.337N;-75.5582133;6.2478714;
75°33'43.396W,6°14'57.097N;-75.5620544;6.2491936;
75°33'39.881W,6°15'2.703N;-75.5610781;6.2507508;
